id,job_title,company_name,location,salary,skills,job_description,posted_date,job_type,url,extracted_skills
35,Data Analyst,Vietcombank,Hà Nội,15-25 triệu VND,"Tốt nghiệp chuyên ngành Toán/Thống kê/Kinh tế. Có kinh nghiệm với Excel advanced, SQL cơ bản và Power BI. Kỹ năng phân tích số liệu, tạo báo cáo. Hiểu biết về banking operations và financial analysis là một lợi thế lớn.","Phân tích dữ liệu khách hàng và business performance, tạo dashboard và reports định kỳ. Support management trong việc ra quyết định thông qua data insights. Collaborate với IT team để improve data quality.",2024-11-21,Full-time,https://careers.vietcombank.com.vn/data-analyst,"['power bi', 'sql', 'excel']"
36,Business Intelligence Analyst,Masan Group,TP.HCM,18-30 triệu VND,"Có background về business analysis, data visualization. Thành thạo Tableau, Power BI, SQL và Excel advanced. Kỹ năng storytelling với data, presentation skills. Hiểu biết về retail/FMCG industry. Analytical mindset và attention to detail.","Develop và maintain BI dashboards, analyze business trends, create executive reports. Work với cross-functional teams để identify opportunities for improvement. Automate reporting processes và ensure data accuracy.",2024-11-20,Full-time,https://careers.masan.com.vn/bi-analyst,"['storytelling', 'presentation skills', 'presentation', 'data visualization', 'power bi', 'excel', 'tableau', 'sql']"
37,IT Support Specialist,FPT Corporation,Hà Nội,10-15 triệu VND,"Tốt nghiệp chuyên ngành CNTT hoặc có chứng chỉ liên quan. Có kinh nghiệm troubleshooting hardware/software issues. Thành thạo Windows, Office 365, basic networking. Kỹ năng customer service, patience. Sẵn sàng on-call support.","Provide technical support cho end-users, troubleshoot IT issues, maintain computer systems. Install và configure software/hardware, manage user accounts. Document solutions và create user guides.",2024-11-19,Full-time,https://careers.fpt.com.vn/it-support-specialist,['customer service']
38,System Administrator,Vingroup Technology,Hà Nội,18-28 triệu VND,"Có kinh nghiệm system administration, server management. Thành thạo Windows Server, Linux, virtualization technologies. Hiểu biết về network security, backup solutions. Kỹ năng scripting (PowerShell, Bash) là lợi thế. Certification như MCSA, RHCE được ưu tiên.","Manage servers và network infrastructure, implement security measures, perform system backups. Monitor system performance, troubleshoot issues, plan capacity. Ensure system availability và disaster recovery procedures.",2024-11-18,Full-time,https://careers.vingroup.net/system-administrator,[]
39,Graphic Designer,Ogilvy Vietnam,TP.HCM,12-20 triệu VND,"Tốt nghiệp chuyên ngành Mỹ thuật/Thiết kế. Thành thạo Adobe Creative Suite (Photoshop, Illustrator, InDesign), Figma. Có portfolio strong và creative thinking. Hiểu biết về branding, typography, color theory. Khả năng work under tight deadlines.","Create visual designs cho advertising campaigns, develop brand identity, design marketing materials. Collaborate với creative team và clients. Present design concepts và incorporate feedback. Stay updated với design trends.",2024-11-17,Full-time,https://careers.ogilvy.com.vn/graphic-designer,"['branding', 'illustrator', 'figma', 'indesign', 'adobe creative suite', 'photoshop', 'typography', 'marketing']"
40,Video Editor,Yeah1 Group,TP.HCM,15-25 triệu VND,"Có kinh nghiệm video editing, motion graphics. Thành thạo Adobe Premiere Pro, After Effects, DaVinci Resolve. Hiểu biết về video production workflow, color grading, audio editing. Creativity và storytelling skills. Passion cho digital content creation.","Edit video content cho social media platforms, create motion graphics, color correction. Collaborate với content creators và producers. Optimize videos cho different platforms và audiences. Maintain video assets library.",2024-11-16,Full-time,https://careers.yeah1.com/video-editor,"['storytelling', 'after effects', 'premiere pro', 'motion graphics', 'video editing']"
41,Operations Manager,Lazada,TP.HCM,25-40 triệu VND,"Có kinh nghiệm operations management trong e-commerce hoặc logistics. Kỹ năng process improvement, project management, team leadership. Thành thạo data analysis tools, Excel advanced. Strong problem-solving skills và ability to work in fast-paced environment.","Optimize operational processes, manage warehouse operations, coordinate với logistics partners. Analyze performance metrics, implement improvements. Lead cross-functional projects để enhance efficiency và customer satisfaction.",2024-11-15,Full-time,https://careers.lazada.com/operations-manager,"['project management', 'leadership', 'logistics', 'excel']"
42,Quality Assurance Specialist,Nestle Vietnam,Đồng Nai,12-18 triệu VND,"Tốt nghiệp chuyên ngành Công nghệ Thực phẩm/Hóa học. Có kinh nghiệm QA/QC trong food manufacturing. Hiểu biết về HACCP, ISO standards, food safety regulations. Attention to detail, analytical skills. Sẵn sàng làm việc shifts trong factory environment.","Conduct quality inspections, test products according to specifications, maintain quality documentation. Investigate quality issues, implement corrective actions. Ensure compliance với food safety standards và regulations.",2024-11-14,Full-time,https://careers.nestle.com.vn/qa-specialist,"['compliance', 'qa', 'qc']"
43,Legal Assistant,Baker McKenzie,TP.HCM,12-18 triệu VND,"Tốt nghiệp chuyên ngành Luật, có kinh nghiệm legal support. Thành thạo legal research, document preparation. Kỹ năng viết legal documents, contract review. Tiếng Anh pháp lý tốt. Attention to detail và confidentiality awareness.","Assist lawyers với case preparation, conduct legal research, draft legal documents. Manage case files, schedule appointments, communicate với clients. Maintain legal databases và ensure compliance với filing requirements.",2024-11-13,Full-time,https://careers.bakermckenzie.com/legal-assistant,"['legal research', 'compliance']"
44,Compliance Officer,HSBC Vietnam,Hà Nội,20-30 triệu VND,"Có kinh nghiệm compliance trong banking/finance. Hiểu biết về regulatory requirements, AML/CFT regulations. Kỹ năng risk assessment, audit support. Strong analytical skills, attention to detail. Professional certification như CAMS là lợi thế.","Monitor compliance với regulatory requirements, conduct compliance reviews, investigate potential violations. Develop compliance policies, provide training to staff. Liaise với regulators và prepare compliance reports.",2024-11-12,Full-time,https://careers.hsbc.com.vn/compliance-officer,"['compliance', 'training']"
45,Administrative Assistant,Microsoft Vietnam,Hà Nội,10-15 triệu VND,"Tốt nghiệp đại học, có kinh nghiệm administrative support. Thành thạo MS Office Suite, email management, calendar scheduling. Kỹ năng organization, multitasking, communication. Tiếng Anh tốt, professional demeanor. Discretion với confidential information.","Provide administrative support cho executives, manage schedules, organize meetings. Handle correspondence, maintain files, coordinate travel arrangements. Assist với special projects và office management tasks.",2024-11-11,Full-time,https://careers.microsoft.com/vn/admin-assistant,"['office management', 'communication', 'administrative support']"
46,Office Manager,Google Vietnam,TP.HCM,15-25 triệu VND,"Có kinh nghiệm office management, facility management. Kỹ năng vendor management, budget control, event planning. Thành thạo office software, project coordination. Leadership skills, problem-solving ability. Flexibility để handle diverse responsibilities.","Manage office operations, oversee facility maintenance, coordinate với vendors. Plan company events, manage office supplies, ensure smooth daily operations. Support HR với onboarding processes và employee engagement activities.",2024-11-10,Full-time,https://careers.google.com/vn/office-manager,"['office management', 'vendor management', 'event planning', 'leadership']"
47,Production Supervisor,Honda Vietnam,Vĩnh Phúc,18-28 triệu VND,"Có kinh nghiệm production management trong automotive industry. Hiểu biết về lean manufacturing, 5S, quality control. Kỹ năng leadership, staff management, safety management. Sẵn sàng làm việc shifts, handle pressure. Japanese language skills là lợi thế.","Supervise production lines, ensure quality standards, manage production schedules. Train production workers, implement safety procedures. Monitor productivity metrics, coordinate với quality và maintenance teams.",2024-11-09,Full-time,https://careers.honda.com.vn/production-supervisor,"['lean manufacturing', '5s', 'leadership', 'safety management']"
48,Quality Control Inspector,Canon Vietnam,Bắc Ninh,12-18 triệu VND,"Tốt nghiệp chuyên ngành Cơ khí/Điện tử. Có kinh nghiệm QC trong electronics manufacturing. Hiểu biết về measurement tools, testing procedures. Attention to detail, analytical skills. Khả năng đọc technical drawings, work với precision instruments.","Inspect products according to quality standards, perform testing procedures, document inspection results. Identify defects, recommend corrective actions. Maintain inspection equipment, ensure compliance với quality specifications.",2024-11-08,Full-time,https://careers.canon.com.vn/qc-inspector,"['compliance', 'qc']"
